wagidsheikh@Wagids-MacBook-Pro simplify_downloader % log show --style syslog --info \
  --start "2026-01-28 15:45:00" --end "2026-01-28 21:15:00" \
  --predicate '(process == "cron") OR (eventMessage CONTAINS[c] "CRON")'

Filtering the log data using "process == "cron" OR composedMessage CONTAINS[c] "CRON""
Skipping debug messages, pass --debug to include.
Timestamp                       (process)[PID]
2026-01-28 16:00:07.808898+0530  localhost tccd[154]: [com.apple.TCC:access] AUTHREQ_SUBJECT: msgID=10778.1, subject=/usr/sbin/cron,
2026-01-28 16:00:07.810025+0530  localhost tccd[154]: [com.apple.TCC:access] -[TCCDAccessIdentity staticCode]: static code for: identifier /usr/sbin/cron, type: 1: 0x7fe148418c70 at /usr/sbin/cron
2026-01-28 16:00:07.814302+0530  localhost tccd[154]: [com.apple.TCC:access] AUTHREQ_ATTRIBUTION: msgID=141.10816, attribution={responsible={identifier=com.apple.cron, pid=77077, auid=0, euid=0, responsible_path=/usr/sbin/cron, binary_path=/usr/sbin/cron}, accessing={identifier=com.google.Chrome, pid=10772, auid=501, euid=501, binary_path=/Applications/Google Chrome.app/Contents/MacOS/Google Chrome}, requesting={identifier=com.apple.WindowServer, pid=141, auid=88, euid=88, binary_path=/System/Library/PrivateFrameworks/SkyLight.framework/Versions/A/Resources/WindowServer}, },
2026-01-28 16:00:07.815272+0530  localhost tccd[154]: [com.apple.TCC:access] AUTHREQ_SUBJECT: msgID=141.10816, subject=/usr/sbin/cron,
2026-01-28 16:00:07.816341+0530  localhost tccd[154]: [com.apple.TCC:access] -[TCCDAccessIdentity staticCode]: static code for: identifier /usr/sbin/cron, type: 1: 0x7fe147c1ba40 at /usr/sbin/cron
2026-01-28 16:00:07.823005+0530  localhost tccd[154]: [com.apple.TCC:access] AUTHREQ_ATTRIBUTION: msgID=141.10817, attribution={responsible={identifier=com.apple.cron, pid=77077, auid=0, euid=0, responsible_path=/usr/sbin/cron, binary_path=/usr/sbin/cron}, accessing={identifier=com.google.Chrome, pid=10778, auid=501, euid=501, binary_path=/Applications/Google Chrome.app/Contents/MacOS/Google Chrome}, requesting={identifier=com.apple.WindowServer, pid=141, auid=88, euid=88, binary_path=/System/Library/PrivateFrameworks/SkyLight.framework/Versions/A/Resources/WindowServer}, },
2026-01-28 16:00:07.823969+0530  localhost tccd[154]: [com.apple.TCC:access] AUTHREQ_SUBJECT: msgID=141.10817, subject=/usr/sbin/cron,
2026-01-28 16:00:07.824914+0530  localhost tccd[154]: [com.apple.TCC:access] -[TCCDAccessIdentity staticCode]: static code for: identifier /usr/sbin/cron, type: 1: 0x7fe147c4a6d0 at /usr/sbin/cron
2026-01-28 16:00:07.843422+0530  localhost tccd[154]: [com.apple.TCC:access] AUTHREQ_SUBJECT: msgID=10777.1, subject=/usr/sbin/cron,
2026-01-28 16:00:07.884576+0530  localhost tccd[154]: [com.apple.TCC:access] -[TCCDAccessIdentity staticCode]: static code for: identifier /usr/sbin/cron, type: 1: 0x7fe147b0df80 at /usr/sbin/cron
2026-01-28 16:00:07.928937+0530  localhost tccd[154]: [com.apple.TCC:access] -[TCCDAccessIdentity staticCode]: static code for: identifier /usr/sbin/cron, type: 1: 0x7fe14810a5a0 at /usr/sbin/cron
2026-01-28 16:00:07.940344+0530  localhost tccd[154]: [com.apple.TCC:access] AUTHREQ_ATTRIBUTION: msgID=141.10818, attribution={responsible={identifier=com.apple.cron, pid=77077, auid=0, euid=0, responsible_path=/usr/sbin/cron, binary_path=/usr/sbin/cron}, accessing={identifier=com.google.Chrome, pid=10771, auid=501, euid=501, binary_path=/Applications/Google Chrome.app/Contents/MacOS/Google Chrome}, requesting={identifier=com.apple.WindowServer, pid=141, auid=88, euid=88, binary_path=/System/Library/PrivateFrameworks/SkyLight.framework/Versions/A/Resources/WindowServer}, },
2026-01-28 16:00:07.941339+0530  localhost tccd[154]: [com.apple.TCC:access] AUTHREQ_SUBJECT: msgID=141.10818, subject=/usr/sbin/cron,
2026-01-28 16:00:07.942280+0530  localhost tccd[154]: [com.apple.TCC:access] -[TCCDAccessIdentity staticCode]: static code for: identifier /usr/sbin/cron, type: 1: 0x7fe1415588d0 at /usr/sbin/cron
2026-01-28 16:00:07.949552+0530  localhost tccd[154]: [com.apple.TCC:access] AUTHREQ_ATTRIBUTION: msgID=141.10819, attribution={responsible={identifier=com.apple.cron, pid=77077, auid=0, euid=0, responsible_path=/usr/sbin/cron, binary_path=/usr/sbin/cron}, accessing={identifier=com.google.Chrome, pid=10777, auid=501, euid=501, binary_path=/Applications/Google Chrome.app/Contents/MacOS/Google Chrome}, requesting={identifier=com.apple.WindowServer, pid=141, auid=88, euid=88, binary_path=/System/Library/PrivateFrameworks/SkyLight.framework/Versions/A/Resources/WindowServer}, },
2026-01-28 16:00:07.950535+0530  localhost tccd[154]: [com.apple.TCC:access] AUTHREQ_SUBJECT: msgID=141.10819, subject=/usr/sbin/cron,
2026-01-28 16:00:07.951461+0530  localhost tccd[154]: [com.apple.TCC:access] -[TCCDAccessIdentity staticCode]: static code for: identifier /usr/sbin/cron, type: 1: 0x7fe147c4ad20 at /usr/sbin/cron
2026-01-28 16:00:08.308915+0530  localhost tccd[16587]: [com.apple.TCC:access] AUTHREQ_ATTRIBUTION: msgID=10771.2, attribution={responsible={identifier=com.apple.cron, pid=77077, auid=0, euid=0, responsible_path=/usr/sbin/cron, binary_path=/usr/sbin/cron}, requesting={identifier=com.google.Chrome, pid=10771, auid=501, euid=501, binary_path=/Applications/Google Chrome.app/Contents/MacOS/Google Chrome}, },
2026-01-28 16:00:08.308924+0530  localhost tccd[16587]: [com.apple.TCC:access] AUTHREQ_ATTRIBUTION: msgID=10777.2, attribution={responsible={identifier=com.apple.cron, pid=77077, auid=0, euid=0, responsible_path=/usr/sbin/cron, binary_path=/usr/sbin/cron}, requesting={identifier=com.google.Chrome, pid=10777, auid=501, euid=501, binary_path=/Applications/Google Chrome.app/Contents/MacOS/Google Chrome}, },
2026-01-28 16:00:08.308975+0530  localhost tccd[16587]: [com.apple.TCC:access] AUTHREQ_ATTRIBUTION: msgID=10778.2, attribution={responsible={identifier=com.apple.cron, pid=77077, auid=0, euid=0, responsible_path=/usr/sbin/cron, binary_path=/usr/sbin/cron}, requesting={identifier=com.google.Chrome, pid=10778, auid=501, euid=501, binary_path=/Applications/Google Chrome.app/Contents/MacOS/Google Chrome}, },
2026-01-28 16:00:08.311806+0530  localhost tccd[16587]: [com.apple.TCC:access] AUTHREQ_ATTRIBUTION: msgID=10772.2, attribution={responsible={identifier=com.apple.cron, pid=77077, auid=0, euid=0, responsible_path=/usr/sbin/cron, binary_path=/usr/sbin/cron}, requesting={identifier=com.google.Chrome, pid=10772, auid=501, euid=501, binary_path=/Applications/Google Chrome.app/Contents/MacOS/Google Chrome}, },
2026-01-28 16:00:08.315687+0530  localhost tccd[16587]: [com.apple.TCC:access] AUTHREQ_SUBJECT: msgID=10771.2, subject=/usr/sbin/cron,
2026-01-28 16:00:08.316576+0530  localhost tccd[16587]: [com.apple.TCC:access] -[TCCDAccessIdentity staticCode]: static code for: identifier /usr/sbin/cron, type: 1: 0x7f8bd2125770 at /usr/sbin/cron
2026-01-28 16:00:08.317983+0530  localhost tccd[16587]: [com.apple.TCC:access] AUTHREQ_SUBJECT: msgID=10778.2, subject=/usr/sbin/cron,
2026-01-28 16:00:08.319024+0530  localhost tccd[16587]: [com.apple.TCC:access] -[TCCDAccessIdentity staticCode]: static code for: identifier /usr/sbin/cron, type: 1: 0x7f8bd2a26db0 at /usr/sbin/cron
2026-01-28 16:00:08.319052+0530  localhost tccd[16587]: [com.apple.TCC:access] AUTHREQ_SUBJECT: msgID=10777.2, subject=/usr/sbin/cron,
2026-01-28 16:00:08.319949+0530  localhost tccd[16587]: [com.apple.TCC:access] -[TCCDAccessIdentity staticCode]: static code for: identifier /usr/sbin/cron, type: 1: 0x7f8bd2158950 at /usr/sbin/cron
2026-01-28 16:00:08.320943+0530  localhost tccd[16587]: [com.apple.TCC:access] AUTHREQ_SUBJECT: msgID=10772.2, subject=/usr/sbin/cron,
2026-01-28 16:00:08.322178+0530  localhost tccd[16587]: [com.apple.TCC:access] -[TCCDAccessIdentity staticCode]: static code for: identifier /usr/sbin/cron, type: 1: 0x7f8bd2f3f590 at /usr/sbin/cron
2026-01-28 16:00:08.326652+0530  localhost tccd[16587]: [com.apple.TCC:access] AUTHREQ_ATTRIBUTION: msgID=10771.3, attribution={responsible={identifier=com.apple.cron, pid=77077, auid=0, euid=0, responsible_path=/usr/sbin/cron, binary_path=/usr/sbin/cron}, requesting={identifier=com.google.Chrome, pid=10771, auid=501, euid=501, binary_path=/Applications/Google Chrome.app/Contents/MacOS/Google Chrome}, },
2026-01-28 16:00:08.327777+0530  localhost tccd[16587]: [com.apple.TCC:access] AUTHREQ_SUBJECT: msgID=10771.3, subject=/usr/sbin/cron,
2026-01-28 16:00:08.328692+0530  localhost tccd[16587]: [com.apple.TCC:access] -[TCCDAccessIdentity staticCode]: static code for: identifier /usr/sbin/cron, type: 1: 0x7f8bd3368bc0 at /usr/sbin/cron
2026-01-28 16:00:08.329305+0530  localhost tccd[16587]: [com.apple.TCC:access] AUTHREQ_ATTRIBUTION: msgID=10778.3, attribution={responsible={identifier=com.apple.cron, pid=77077, auid=0, euid=0, responsible_path=/usr/sbin/cron, binary_path=/usr/sbin/cron}, requesting={identifier=com.google.Chrome, pid=10778, auid=501, euid=501, binary_path=/Applications/Google Chrome.app/Contents/MacOS/Google Chrome}, },
2026-01-28 16:00:08.330310+0530  localhost tccd[16587]: [com.apple.TCC:access] AUTHREQ_SUBJECT: msgID=10778.3, subject=/usr/sbin/cron,
2026-01-28 16:00:08.330729+0530  localhost tccd[16587]: [com.apple.TCC:access] AUTHREQ_ATTRIBUTION: msgID=10777.3, attribution={responsible={identifier=com.apple.cron, pid=77077, auid=0, euid=0, responsible_path=/usr/sbin/cron, binary_path=/usr/sbin/cron}, requesting={identifier=com.google.Chrome, pid=10777, auid=501, euid=501, binary_path=/Applications/Google Chrome.app/Contents/MacOS/Google Chrome}, },
2026-01-28 16:00:08.331381+0530  localhost tccd[16587]: [com.apple.TCC:access] -[TCCDAccessIdentity staticCode]: static code for: identifier /usr/sbin/cron, type: 1: 0x7f8bd2f6ae80 at /usr/sbin/cron
2026-01-28 16:00:08.331803+0530  localhost tccd[16587]: [com.apple.TCC:access] AUTHREQ_SUBJECT: msgID=10777.3, subject=/usr/sbin/cron,
2026-01-28 16:00:08.332052+0530  localhost tccd[16587]: [com.apple.TCC:access] AUTHREQ_ATTRIBUTION: msgID=10772.3, attribution={responsible={identifier=com.apple.cron, pid=77077, auid=0, euid=0, responsible_path=/usr/sbin/cron, binary_path=/usr/sbin/cron}, requesting={identifier=com.google.Chrome, pid=10772, auid=501, euid=501, binary_path=/Applications/Google Chrome.app/Contents/MacOS/Google Chrome}, },
2026-01-28 16:00:08.333214+0530  localhost tccd[16587]: [com.apple.TCC:access] -[TCCDAccessIdentity staticCode]: static code for: identifier /usr/sbin/cron, type: 1: 0x7f8bd33676f0 at /usr/sbin/cron
2026-01-28 16:00:08.333314+0530  localhost tccd[16587]: [com.apple.TCC:access] AUTHREQ_SUBJECT: msgID=10772.3, subject=/usr/sbin/cron,
2026-01-28 16:00:08.334170+0530  localhost tccd[16587]: [com.apple.TCC:access] -[TCCDAccessIdentity staticCode]: static code for: identifier /usr/sbin/cron, type: 1: 0x7f8bd2f35be0 at /usr/sbin/cron
2026-01-28 16:00:08.337573+0530  localhost tccd[16587]: [com.apple.TCC:access] AUTHREQ_ATTRIBUTION: msgID=10771.4, attribution={responsible={identifier=com.apple.cron, pid=77077, auid=0, euid=0, responsible_path=/usr/sbin/cron, binary_path=/usr/sbin/cron}, requesting={identifier=com.google.Chrome, pid=10771, auid=501, euid=501, binary_path=/Applications/Google Chrome.app/Contents/MacOS/Google Chrome}, },
2026-01-28 16:00:08.338654+0530  localhost tccd[16587]: [com.apple.TCC:access] AUTHREQ_SUBJECT: msgID=10771.4, subject=/usr/sbin/cron,
2026-01-28 16:00:08.339551+0530  localhost tccd[16587]: [com.apple.TCC:access] -[TCCDAccessIdentity staticCode]: static code for: identifier /usr/sbin/cron, type: 1: 0x7f8bd3330940 at /usr/sbin/cron
2026-01-28 16:00:08.340497+0530  localhost tccd[16587]: [com.apple.TCC:access] AUTHREQ_ATTRIBUTION: msgID=10778.4, attribution={responsible={identifier=com.apple.cron, pid=77077, auid=0, euid=0, responsible_path=/usr/sbin/cron, binary_path=/usr/sbin/cron}, requesting={identifier=com.google.Chrome, pid=10778, auid=501, euid=501, binary_path=/Applications/Google Chrome.app/Contents/MacOS/Google Chrome}, },
2026-01-28 16:00:08.341483+0530  localhost tccd[16587]: [com.apple.TCC:access] AUTHREQ_SUBJECT: msgID=10778.4, subject=/usr/sbin/cron,
2026-01-28 16:00:08.341899+0530  localhost tccd[16587]: [com.apple.TCC:access] AUTHREQ_ATTRIBUTION: msgID=10777.4, attribution={responsible={identifier=com.apple.cron, pid=77077, auid=0, euid=0, responsible_path=/usr/sbin/cron, binary_path=/usr/sbin/cron}, requesting={identifier=com.google.Chrome, pid=10777, auid=501, euid=501, binary_path=/Applications/Google Chrome.app/Contents/MacOS/Google Chrome}, },
2026-01-28 16:00:08.342603+0530  localhost tccd[16587]: [com.apple.TCC:access] -[TCCDAccessIdentity staticCode]: static code for: identifier /usr/sbin/cron, type: 1: 0x7f8bd2f6ae80 at /usr/sbin/cron
2026-01-28 16:00:08.342862+0530  localhost tccd[16587]: [com.apple.TCC:access] AUTHREQ_SUBJECT: msgID=10777.4, subject=/usr/sbin/cron,
2026-01-28 16:00:08.343343+0530  localhost tccd[16587]: [com.apple.TCC:access] AUTHREQ_ATTRIBUTION: msgID=10772.4, attribution={responsible={identifier=com.apple.cron, pid=77077, auid=0, euid=0, responsible_path=/usr/sbin/cron, binary_path=/usr/sbin/cron}, requesting={identifier=com.google.Chrome, pid=10772, auid=501, euid=501, binary_path=/Applications/Google Chrome.app/Contents/MacOS/Google Chrome}, },
2026-01-28 16:00:08.343932+0530  localhost tccd[16587]: [com.apple.TCC:access] -[TCCDAccessIdentity staticCode]: static code for: identifier /usr/sbin/cron, type: 1: 0x7f8bd3367170 at /usr/sbin/cron
2026-01-28 16:00:08.344395+0530  localhost tccd[16587]: [com.apple.TCC:access] AUTHREQ_SUBJECT: msgID=10772.4, subject=/usr/sbin/cron,
2026-01-28 16:00:08.345244+0530  localhost tccd[16587]: [com.apple.TCC:access] -[TCCDAccessIdentity staticCode]: static code for: identifier /usr/sbin/cron, type: 1: 0x7f8bd2a59970 at /usr/sbin/cron
2026-01-28 16:00:08.348730+0530  localhost tccd[16587]: [com.apple.TCC:access] AUTHREQ_ATTRIBUTION: msgID=10771.5, attribution={responsible={identifier=com.apple.cron, pid=77077, auid=0, euid=0, responsible_path=/usr/sbin/cron, binary_path=/usr/sbin/cron}, requesting={identifier=com.google.Chrome, pid=10771, auid=501, euid=501, binary_path=/Applications/Google Chrome.app/Contents/MacOS/Google Chrome}, },
2026-01-28 16:00:08.349916+0530  localhost tccd[16587]: [com.apple.TCC:access] AUTHREQ_SUBJECT: msgID=10771.5, subject=/usr/sbin/cron,
2026-01-28 16:00:08.350801+0530  localhost tccd[16587]: [com.apple.TCC:access] -[TCCDAccessIdentity staticCode]: static code for: identifier /usr/sbin/cron, type: 1: 0x7f8bd3363490 at /usr/sbin/cron
2026-01-28 16:00:08.351626+0530  localhost tccd[16587]: [com.apple.TCC:access] AUTHREQ_ATTRIBUTION: msgID=10778.5, attribution={responsible={identifier=com.apple.cron, pid=77077, auid=0, euid=0, responsible_path=/usr/sbin/cron, binary_path=/usr/sbin/cron}, requesting={identifier=com.google.Chrome, pid=10778, auid=501, euid=501, binary_path=/Applications/Google Chrome.app/Contents/MacOS/Google Chrome}, },
2026-01-28 16:00:08.352564+0530  localhost tccd[16587]: [com.apple.TCC:access] AUTHREQ_SUBJECT: msgID=10778.5, subject=/usr/sbin/cron,
2026-01-28 16:00:08.352899+0530  localhost tccd[16587]: [com.apple.TCC:access] AUTHREQ_ATTRIBUTION: msgID=10777.5, attribution={responsible={identifier=com.apple.cron, pid=77077, auid=0, euid=0, responsible_path=/usr/sbin/cron, binary_path=/usr/sbin/cron}, requesting={identifier=com.google.Chrome, pid=10777, auid=501, euid=501, binary_path=/Applications/Google Chrome.app/Contents/MacOS/Google Chrome}, },
2026-01-28 16:00:08.353752+0530  localhost tccd[16587]: [com.apple.TCC:access] -[TCCDAccessIdentity staticCode]: static code for: identifier /usr/sbin/cron, type: 1: 0x7f8bd2f6de90 at /usr/sbin/cron
2026-01-28 16:00:08.354202+0530  localhost tccd[16587]: [com.apple.TCC:access] AUTHREQ_SUBJECT: msgID=10777.5, subject=/usr/sbin/cron,
2026-01-28 16:00:08.354325+0530  localhost tccd[16587]: [com.apple.TCC:access] AUTHREQ_ATTRIBUTION: msgID=10772.5, attribution={responsible={identifier=com.apple.cron, pid=77077, auid=0, euid=0, responsible_path=/usr/sbin/cron, binary_path=/usr/sbin/cron}, requesting={identifier=com.google.Chrome, pid=10772, auid=501, euid=501, binary_path=/Applications/Google Chrome.app/Contents/MacOS/Google Chrome}, },
2026-01-28 16:00:08.355535+0530  localhost tccd[16587]: [com.apple.TCC:access] -[TCCDAccessIdentity staticCode]: static code for: identifier /usr/sbin/cron, type: 1: 0x7f8bd2a4f8b0 at /usr/sbin/cron
2026-01-28 16:00:08.355593+0530  localhost tccd[16587]: [com.apple.TCC:access] AUTHREQ_SUBJECT: msgID=10772.5, subject=/usr/sbin/cron,
2026-01-28 16:00:08.356461+0530  localhost tccd[16587]: [com.apple.TCC:access] -[TCCDAccessIdentity staticCode]: static code for: identifier /usr/sbin/cron, type: 1: 0x7f8bd2f6e430 at /usr/sbin/cron
2026-01-28 16:00:08.360813+0530  localhost tccd[154]: [com.apple.TCC:access] AUTHREQ_ATTRIBUTION: msgID=10771.6, attribution={responsible={identifier=com.apple.cron, pid=77077, auid=0, euid=0, responsible_path=/usr/sbin/cron, binary_path=/usr/sbin/cron}, requesting={identifier=com.google.Chrome, pid=10771, auid=501, euid=501, binary_path=/Applications/Google Chrome.app/Contents/MacOS/Google Chrome}, },
2026-01-28 16:00:08.362195+0530  localhost tccd[154]: [com.apple.TCC:access] AUTHREQ_SUBJECT: msgID=10771.6, subject=/usr/sbin/cron,
2026-01-28 16:00:08.363091+0530  localhost tccd[154]: [com.apple.TCC:access] -[TCCDAccessIdentity staticCode]: static code for: identifier /usr/sbin/cron, type: 1: 0x7fe1415588d0 at /usr/sbin/cron
2026-01-28 16:00:08.363826+0530  localhost tccd[154]: [com.apple.TCC:access] AUTHREQ_ATTRIBUTION: msgID=10778.6, attribution={responsible={identifier=com.apple.cron, pid=77077, auid=0, euid=0, responsible_path=/usr/sbin/cron, binary_path=/usr/sbin/cron}, requesting={identifier=com.google.Chrome, pid=10778, auid=501, euid=501, binary_path=/Applications/Google Chrome.app/Contents/MacOS/Google Chrome}, },
2026-01-28 16:00:08.364723+0530  localhost tccd[154]: [com.apple.TCC:access] AUTHREQ_SUBJECT: msgID=10778.6, subject=/usr/sbin/cron,
2026-01-28 16:00:08.365201+0530  localhost tccd[154]: [com.apple.TCC:access] AUTHREQ_ATTRIBUTION: msgID=10777.6, attribution={responsible={identifier=com.apple.cron, pid=77077, auid=0, euid=0, responsible_path=/usr/sbin/cron, binary_path=/usr/sbin/cron}, requesting={identifier=com.google.Chrome, pid=10777, auid=501, euid=501, binary_path=/Applications/Google Chrome.app/Contents/MacOS/Google Chrome}, },
2026-01-28 16:00:08.366177+0530  localhost tccd[154]: [com.apple.TCC:access] -[TCCDAccessIdentity staticCode]: static code for: identifier /usr/sbin/cron, type: 1: 0x7fe14842afa0 at /usr/sbin/cron
2026-01-28 16:00:08.366874+0530  localhost tccd[154]: [com.apple.TCC:access] AUTHREQ_ATTRIBUTION: msgID=10772.6, attribution={responsible={identifier=com.apple.cron, pid=77077, auid=0, euid=0, responsible_path=/usr/sbin/cron, binary_path=/usr/sbin/cron}, requesting={identifier=com.google.Chrome, pid=10772, auid=501, euid=501, binary_path=/Applications/Google Chrome.app/Contents/MacOS/Google Chrome}, },
2026-01-28 16:00:08.366925+0530  localhost tccd[154]: [com.apple.TCC:access] AUTHREQ_SUBJECT: msgID=10777.6, subject=/usr/sbin/cron,
2026-01-28 16:00:08.368101+0530  localhost tccd[154]: [com.apple.TCC:access] -[TCCDAccessIdentity staticCode]: static code for: identifier /usr/sbin/cron, type: 1: 0x7fe147b0a7e0 at /usr/sbin/cron
2026-01-28 16:00:08.368212+0530  localhost tccd[154]: [com.apple.TCC:access] AUTHREQ_SUBJECT: msgID=10772.6, subject=/usr/sbin/cron,
2026-01-28 16:00:08.369593+0530  localhost tccd[154]: [com.apple.TCC:access] -[TCCDAccessIdentity staticCode]: static code for: identifier /usr/sbin/cron, type: 1: 0x7fe14340cfd0 at /usr/sbin/cron
2026-01-28 16:00:08.377396+0530  localhost tccd[154]: [com.apple.TCC:access] AUTHREQ_ATTRIBUTION: msgID=10771.7, attribution={responsible={identifier=com.apple.cron, pid=77077, auid=0, euid=0, responsible_path=/usr/sbin/cron, binary_path=/usr/sbin/cron}, requesting={identifier=com.google.Chrome, pid=10771, auid=501, euid=501, binary_path=/Applications/Google Chrome.app/Contents/MacOS/Google Chrome}, },
2026-01-28 16:00:08.378961+0530  localhost tccd[154]: [com.apple.TCC:access] AUTHREQ_SUBJECT: msgID=10771.7, subject=/usr/sbin/cron,
2026-01-28 16:00:08.380567+0530  localhost tccd[154]: [com.apple.TCC:access] -[TCCDAccessIdentity staticCode]: static code for: identifier /usr/sbin/cron, type: 1: 0x7fe14842af30 at /usr/sbin/cron
2026-01-28 16:00:08.383310+0530  localhost tccd[154]: [com.apple.TCC:access] AUTHREQ_ATTRIBUTION: msgID=10778.7, attribution={responsible={identifier=com.apple.cron, pid=77077, auid=0, euid=0, responsible_path=/usr/sbin/cron, binary_path=/usr/sbin/cron}, requesting={identifier=com.google.Chrome, pid=10778, auid=501, euid=501, binary_path=/Applications/Google Chrome.app/Contents/MacOS/Google Chrome}, },
2026-01-28 16:00:08.384946+0530  localhost tccd[154]: [com.apple.TCC:access] AUTHREQ_SUBJECT: msgID=10778.7, subject=/usr/sbin/cron,
2026-01-28 16:00:08.386319+0530  localhost tccd[154]: [com.apple.TCC:access] -[TCCDAccessIdentity staticCode]: static code for: identifier /usr/sbin/cron, type: 1: 0x7fe141535dd0 at /usr/sbin/cron
2026-01-28 16:00:08.401722+0530  localhost tccd[154]: [com.apple.TCC:access] AUTHREQ_ATTRIBUTION: msgID=10777.7, attribution={responsible={identifier=com.apple.cron, pid=77077, auid=0, euid=0, responsible_path=/usr/sbin/cron, binary_path=/usr/sbin/cron}, requesting={identifier=com.google.Chrome, pid=10777, auid=501, euid=501, binary_path=/Applications/Google Chrome.app/Contents/MacOS/Google Chrome}, },
2026-01-28 16:00:08.401797+0530  localhost tccd[154]: [com.apple.TCC:access] AUTHREQ_ATTRIBUTION: msgID=10772.7, attribution={responsible={identifier=com.apple.cron, pid=77077, auid=0, euid=0, responsible_path=/usr/sbin/cron, binary_path=/usr/sbin/cron}, requesting={identifier=com.google.Chrome, pid=10772, auid=501, euid=501, binary_path=/Applications/Google Chrome.app/Contents/MacOS/Google Chrome}, },
2026-01-28 16:00:08.403731+0530  localhost tccd[154]: [com.apple.TCC:access] AUTHREQ_SUBJECT: msgID=10772.7, subject=/usr/sbin/cron,
2026-01-28 16:00:08.403779+0530  localhost tccd[154]: [com.apple.TCC:access] AUTHREQ_SUBJECT: msgID=10777.7, subject=/usr/sbin/cron,
2026-01-28 16:00:08.405378+0530  localhost tccd[154]: [com.apple.TCC:access] -[TCCDAccessIdentity staticCode]: static code for: identifier /usr/sbin/cron, type: 1: 0x7fe1484273c0 at /usr/sbin/cron
2026-01-28 16:00:08.405395+0530  localhost tccd[154]: [com.apple.TCC:access] -[TCCDAccessIdentity staticCode]: static code for: identifier /usr/sbin/cron, type: 1: 0x7fe147c1ba40 at /usr/sbin/cron
2026-01-28 16:00:08.585545+0530  localhost tccd[16587]: [com.apple.TCC:access] AUTHREQ_ATTRIBUTION: msgID=96.7945, attribution={responsible={identifier=com.apple.cron, pid=77077, auid=0, euid=0, responsible_path=/usr/sbin/cron, binary_path=/usr/sbin/cron}, accessing={identifier=com.google.Chrome, pid=10771, auid=501, euid=501, binary_path=/Applications/Google Chrome.app/Contents/MacOS/Google Chrome}, requesting={identifier=com.apple.mds, pid=96, auid=0, euid=0, binary_path=/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds}, },
